DateRangeId,Period,Week,Dates,Days,Date,FinancialYear,Year,Month,WeekNo,DayNo,IsCurrentYear,Week_number
99,PERIOD 01/2324,WEEK 15/2324,88 JUL 2023,SATURDAY,2023-07-08,2023-24,2023,7,WEEK 15,99,1,15
100,PERIOD 01/2324,WEEK 15/2324,99 JUL 2023,SUNDAY,2023-07-09,2023-24,2023,7,WEEK 15,100,1,15
101,PERIOD 01/2324,WEEK 16/2324,100 JUL 2023,MONDAY,2023-07-10,2023-24,2023,7,WEEK 16,101,1,16
102,PERIOD 01/2324,WEEK 16/2324,111 JUL 2023,TUESDAY,2023-07-11,2023-24,2023,7,WEEK 16,102,1,16
103,PERIOD 01/2324,WEEK 16/2324,122 JUL 2023,WEDNESDAY,2023-07-12,2023-24,2023,7,WEEK 16,103,1,16
104,PERIOD 01/2324,WEEK 16/2324,133 JUL 2023,THURSDAY,2023-07-13,2023-24,2023,7,WEEK 16,104,1,16
105,PERIOD 01/2324,WEEK 16/2324,144 JUL 2023,FRIDAY,2023-07-14,2023-24,2023,7,WEEK 16,105,1,16
106,PERIOD 01/2324,WEEK 16/2324,155 JUL 2023,SATURDAY,2023-07-15,2023-24,2023,7,WEEK 16,106,1,16
107,PERIOD 01/2324,WEEK 16/2324,166 JUL 2023,SUNDAY,2023-07-16,2023-24,2023,7,WEEK 16,107,1,16
108,PERIOD 01/2324,WEEK 17/2324,177 JUL 2023,MONDAY,2023-07-17,2023-24,2023,7,WEEK 17,108,1,17
109,PERIOD 01/2324,WEEK 17/2324,188 JUL 2023,TUESDAY,2023-07-18,2023-24,2023,7,WEEK 17,109,1,17
110,PERIOD 01/2324,WEEK 17/2324,199 JUL 2023,WEDNESDAY,2023-07-19,2023-24,2023,7,WEEK 17,110,1,17
111,PERIOD 01/2324,WEEK 17/2324,200 JUL 2023,THURSDAY,2023-07-20,2023-24,2023,7,WEEK 17,111,1,17
112,PERIOD 01/2324,WEEK 17/2324,211 JUL 2023,FRIDAY,2023-07-21,2023-24,2023,7,WEEK 17,112,1,17
113,PERIOD 01/2324,WEEK 17/2324,222 JUL 2023,SATURDAY,2023-07-22,2023-24,2023,7,WEEK 17,113,1,17
114,PERIOD 01/2324,WEEK 17/2324,233 JUL 2023,SUNDAY,2023-07-23,2023-24,2023,7,WEEK 17,114,1,17
115,PERIOD 01/2324,WEEK 18/2324,244 JUL 2023,MONDAY,2023-07-24,2023-24,2023,7,WEEK 18,115,1,18
116,PERIOD 01/2324,WEEK 18/2324,255 JUL 2023,TUESDAY,2023-07-25,2023-24,2023,7,WEEK 18,116,1,18
117,PERIOD 01/2324,WEEK 18/2324,266 JUL 2023,WEDNESDAY,2023-07-26,2023-24,2023,7,WEEK 18,117,1,18
118,PERIOD 01/2324,WEEK 18/2324,277 JUL 2023,THURSDAY,2023-07-27,2023-24,2023,7,WEEK 18,118,1,18
119,PERIOD 01/2324,WEEK 18/2324,288 JUL 2023,FRIDAY,2023-07-28,2023-24,2023,7,WEEK 18,119,1,18
120,PERIOD 01/2324,WEEK 18/2324,299 JUL 2023,SATURDAY,2023-07-29,2023-24,2023,7,WEEK 18,120,1,18
121,PERIOD 01/2324,WEEK 18/2324,300 JUL 2023,SUNDAY,2023-07-30,2023-24,2023,7,WEEK 18,121,1,18
122,PERIOD 01/2324,WEEK 19/2324,311 JUL 2023,MONDAY,2023-07-31,2023-24,2023,7,WEEK 19,122,1,19
123,PERIOD 01/2324,WEEK 19/2324,11 AUG 2023,TUESDAY,2023-08-01,2023-24,2023,8,WEEK 19,123,1,19
124,PERIOD 01/2324,WEEK 19/2324,22 AUG 2023,WEDNESDAY,2023-08-02,2023-24,2023,8,WEEK 19,124,1,19
125,PERIOD 01/2324,WEEK 19/2324,33 AUG 2023,THURSDAY,2023-08-03,2023-24,2023,8,WEEK 19,125,1,19
126,PERIOD 01/2324,WEEK 19/2324,44 AUG 2023,FRIDAY,2023-08-04,2023-24,2023,8,WEEK 19,126,1,19
127,PERIOD 01/2324,WEEK 19/2324,55 AUG 2023,SATURDAY,2023-08-05,2023-24,2023,8,WEEK 19,127,1,19
128,PERIOD 01/2324,WEEK 19/2324,66 AUG 2023,SUNDAY,2023-08-06,2023-24,2023,8,WEEK 19,128,1,19
129,PERIOD 01/2324,WEEK 20/2324,77 AUG 2023,MONDAY,2023-08-07,2023-24,2023,8,WEEK 20,129,1,20
130,PERIOD 01/2324,WEEK 20/2324,88 AUG 2023,TUESDAY,2023-08-08,2023-24,2023,8,WEEK 20,130,1,20
131,PERIOD 01/2324,WEEK 20/2324,99 AUG 2023,WEDNESDAY,2023-08-09,2023-24,2023,8,WEEK 20,131,1,20
132,PERIOD 01/2324,WEEK 20/2324,100 AUG 2023,THURSDAY,2023-08-10,2023-24,2023,8,WEEK 20,132,1,20
133,PERIOD 01/2324,WEEK 20/2324,111 AUG 2023,FRIDAY,2023-08-11,2023-24,2023,8,WEEK 20,133,1,20
134,PERIOD 01/2324,WEEK 20/2324,122 AUG 2023,SATURDAY,2023-08-12,2023-24,2023,8,WEEK 20,134,1,20
135,PERIOD 01/2324,WEEK 20/2324,133 AUG 2023,SUNDAY,2023-08-13,2023-24,2023,8,WEEK 20,135,1,20
136,PERIOD 01/2324,WEEK 21/2324,144 AUG 2023,MONDAY,2023-08-14,2023-24,2023,8,WEEK 21,136,1,21
137,PERIOD 01/2324,WEEK 21/2324,155 AUG 2023,TUESDAY,2023-08-15,2023-24,2023,8,WEEK 21,137,1,21
138,PERIOD 01/2324,WEEK 21/2324,166 AUG 2023,WEDNESDAY,2023-08-16,2023-24,2023,8,WEEK 21,138,1,21
139,PERIOD 01/2324,WEEK 21/2324,177 AUG 2023,THURSDAY,2023-08-17,2023-24,2023,8,WEEK 21,139,1,21
140,PERIOD 01/2324,WEEK 21/2324,188 AUG 2023,FRIDAY,2023-08-18,2023-24,2023,8,WEEK 21,140,1,21
141,PERIOD 01/2324,WEEK 21/2324,199 AUG 2023,SATURDAY,2023-08-19,2023-24,2023,8,WEEK 21,141,1,21
142,PERIOD 01/2324,WEEK 21/2324,200 AUG 2023,SUNDAY,2023-08-20,2023-24,2023,8,WEEK 21,142,1,21
143,PERIOD 01/2324,WEEK 22/2324,211 AUG 2023,MONDAY,2023-08-21,2023-24,2023,8,WEEK 22,143,1,22
144,PERIOD 01/2324,WEEK 22/2324,222 AUG 2023,TUESDAY,2023-08-22,2023-24,2023,8,WEEK 22,144,1,22
145,PERIOD 01/2324,WEEK 22/2324,233 AUG 2023,WEDNESDAY,2023-08-23,2023-24,2023,8,WEEK 22,145,1,22
146,PERIOD 01/2324,WEEK 22/2324,244 AUG 2023,THURSDAY,2023-08-24,2023-24,2023,8,WEEK 22,146,1,22
147,PERIOD 01/2324,WEEK 22/2324,255 AUG 2023,FRIDAY,2023-08-25,2023-24,2023,8,WEEK 22,147,1,22
148,PERIOD 01/2324,WEEK 22/2324,266 AUG 2023,SATURDAY,2023-08-26,2023-24,2023,8,WEEK 22,148,1,22
149,PERIOD 01/2324,WEEK 22/2324,277 AUG 2023,SUNDAY,2023-08-27,2023-24,2023,8,WEEK 22,149,1,22
150,PERIOD 01/2324,WEEK 23/2324,288 AUG 2023,MONDAY,2023-08-28,2023-24,2023,8,WEEK 23,150,1,23
151,PERIOD 01/2324,WEEK 23/2324,299 AUG 2023,TUESDAY,2023-08-29,2023-24,2023,8,WEEK 23,151,1,23
152,PERIOD 01/2324,WEEK 23/2324,300 AUG 2023,WEDNESDAY,2023-08-30,2023-24,2023,8,WEEK 23,152,1,23
153,PERIOD 01/2324,WEEK 23/2324,311 AUG 2023,THURSDAY,2023-08-31,2023-24,2023,8,WEEK 23,153,1,23
154,PERIOD 01/2324,WEEK 23/2324,11 SEP 2023,FRIDAY,2023-09-01,2023-24,2023,9,WEEK 23,154,1,23
155,PERIOD 01/2324,WEEK 23/2324,22 SEP 2023,SATURDAY,2023-09-02,2023-24,2023,9,WEEK 23,155,1,23
156,PERIOD 01/2324,WEEK 23/2324,33 SEP 2023,SUNDAY,2023-09-03,2023-24,2023,9,WEEK 23,156,1,23
157,PERIOD 01/2324,WEEK 24/2324,44 SEP 2023,MONDAY,2023-09-04,2023-24,2023,9,WEEK 24,157,1,24
158,PERIOD 01/2324,WEEK 24/2324,55 SEP 2023,TUESDAY,2023-09-05,2023-24,2023,9,WEEK 24,158,1,24
159,PERIOD 01/2324,WEEK 24/2324,66 SEP 2023,WEDNESDAY,2023-09-06,2023-24,2023,9,WEEK 24,159,1,24
160,PERIOD 01/2324,WEEK 24/2324,77 SEP 2023,THURSDAY,2023-09-07,2023-24,2023,9,WEEK 24,160,1,24
161,PERIOD 01/2324,WEEK 24/2324,88 SEP 2023,FRIDAY,2023-09-08,2023-24,2023,9,WEEK 24,161,1,24
162,PERIOD 01/2324,WEEK 24/2324,99 SEP 2023,SATURDAY,2023-09-09,2023-24,2023,9,WEEK 24,162,1,24
163,PERIOD 01/2324,WEEK 24/2324,100 SEP 2023,SUNDAY,2023-09-10,2023-24,2023,9,WEEK 24,163,1,24
164,PERIOD 01/2324,WEEK 25/2324,111 SEP 2023,MONDAY,2023-09-11,2023-24,2023,9,WEEK 25,164,1,25
165,PERIOD 01/2324,WEEK 25/2324,122 SEP 2023,TUESDAY,2023-09-12,2023-24,2023,9,WEEK 25,165,1,25
166,PERIOD 01/2324,WEEK 25/2324,133 SEP 2023,WEDNESDAY,2023-09-13,2023-24,2023,9,WEEK 25,166,1,25
167,PERIOD 01/2324,WEEK 25/2324,144 SEP 2023,THURSDAY,2023-09-14,2023-24,2023,9,WEEK 25,167,1,25
168,PERIOD 01/2324,WEEK 25/2324,155 SEP 2023,FRIDAY,2023-09-15,2023-24,2023,9,WEEK 25,168,1,25
169,PERIOD 01/2324,WEEK 25/2324,166 SEP 2023,SATURDAY,2023-09-16,2023-24,2023,9,WEEK 25,169,1,25
170,PERIOD 01/2324,WEEK 25/2324,177 SEP 2023,SUNDAY,2023-09-17,2023-24,2023,9,WEEK 25,170,1,25
171,PERIOD 01/2324,WEEK 26/2324,188 SEP 2023,MONDAY,2023-09-18,2023-24,2023,9,WEEK 26,171,1,26
172,PERIOD 01/2324,WEEK 26/2324,199 SEP 2023,TUESDAY,2023-09-19,2023-24,2023,9,WEEK 26,172,1,26
173,PERIOD 01/2324,WEEK 26/2324,200 SEP 2023,WEDNESDAY,2023-09-20,2023-24,2023,9,WEEK 26,173,1,26
174,PERIOD 01/2324,WEEK 26/2324,211 SEP 2023,THURSDAY,2023-09-21,2023-24,2023,9,WEEK 26,174,1,26
175,PERIOD 01/2324,WEEK 26/2324,222 SEP 2023,FRIDAY,2023-09-22,2023-24,2023,9,WEEK 26,175,1,26
176,PERIOD 01/2324,WEEK 26/2324,233 SEP 2023,SATURDAY,2023-09-23,2023-24,2023,9,WEEK 26,176,1,26
177,PERIOD 01/2324,WEEK 26/2324,244 SEP 2023,SUNDAY,2023-09-24,2023-24,2023,9,WEEK 26,177,1,26
178,PERIOD 01/2324,WEEK 27/2324,255 SEP 2023,MONDAY,2023-09-25,2023-24,2023,9,WEEK 27,178,1,27
179,PERIOD 01/2324,WEEK 27/2324,266 SEP 2023,TUESDAY,2023-09-26,2023-24,2023,9,WEEK 27,179,1,27
180,PERIOD 01/2324,WEEK 27/2324,277 SEP 2023,WEDNESDAY,2023-09-27,2023-24,2023,9,WEEK 27,180,1,27
181,PERIOD 01/2324,WEEK 27/2324,288 SEP 2023,THURSDAY,2023-09-28,2023-24,2023,9,WEEK 27,181,1,27
182,PERIOD 01/2324,WEEK 27/2324,299 SEP 2023,FRIDAY,2023-09-29,2023-24,2023,9,WEEK 27,182,1,27
183,PERIOD 01/2324,WEEK 27/2324,300 SEP 2023,SATURDAY,2023-09-30,2023-24,2023,9,WEEK 27,183,1,27
184,PERIOD 01/2324,WEEK 27/2324,11 OCT 2023,SUNDAY,2023-10-01,2023-24,2023,10,WEEK 27,184,1,27
185,PERIOD 01/2324,WEEK 28/2324,22 OCT 2023,MONDAY,2023-10-02,2023-24,2023,10,WEEK 28,185,1,28
186,PERIOD 01/2324,WEEK 28/2324,33 OCT 2023,TUESDAY,2023-10-03,2023-24,2023,10,WEEK 28,186,1,28
187,PERIOD 01/2324,WEEK 28/2324,44 OCT 2023,WEDNESDAY,2023-10-04,2023-24,2023,10,WEEK 28,187,1,28
188,PERIOD 01/2324,WEEK 28/2324,55 OCT 2023,THURSDAY,2023-10-05,2023-24,2023,10,WEEK 28,188,1,28
189,PERIOD 01/2324,WEEK 28/2324,66 OCT 2023,FRIDAY,2023-10-06,2023-24,2023,10,WEEK 28,189,1,28
190,PERIOD 01/2324,WEEK 28/2324,77 OCT 2023,SATURDAY,2023-10-07,2023-24,2023,10,WEEK 28,190,1,28
191,PERIOD 01/2324,WEEK 28/2324,88 OCT 2023,SUNDAY,2023-10-08,2023-24,2023,10,WEEK 28,191,1,28
192,PERIOD 01/2324,WEEK 29/2324,99 OCT 2023,MONDAY,2023-10-09,2023-24,2023,10,WEEK 29,192,1,29
193,PERIOD 01/2324,WEEK 29/2324,100 OCT 2023,TUESDAY,2023-10-10,2023-24,2023,10,WEEK 29,193,1,29
194,PERIOD 01/2324,WEEK 29/2324,111 OCT 2023,WEDNESDAY,2023-10-11,2023-24,2023,10,WEEK 29,194,1,29
195,PERIOD 01/2324,WEEK 29/2324,122 OCT 2023,THURSDAY,2023-10-12,2023-24,2023,10,WEEK 29,195,1,29
196,PERIOD 01/2324,WEEK 29/2324,133 OCT 2023,FRIDAY,2023-10-13,2023-24,2023,10,WEEK 29,196,1,29
197,PERIOD 01/2324,WEEK 29/2324,144 OCT 2023,SATURDAY,2023-10-14,2023-24,2023,10,WEEK 29,197,1,29
198,PERIOD 01/2324,WEEK 29/2324,155 OCT 2023,SUNDAY,2023-10-15,2023-24,2023,10,WEEK 29,198,1,29
199,PERIOD 01/2324,WEEK 30/2324,166 OCT 2023,MONDAY,2023-10-16,2023-24,2023,10,WEEK 30,199,1,30
200,PERIOD 01/2324,WEEK 30/2324,177 OCT 2023,TUESDAY,2023-10-17,2023-24,2023,10,WEEK 30,200,1,30
